EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_16_nivel_A-1h_86472600,inp10_input_17_nivel_A-2h_86472600,inp11_input_18_nivel_A-4h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
2,1,Validacao,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,14985,-8,1020,-37,-130,-2,-2,9,771,893,909.2925113331424,138.2925113331424,138.2925113331424,19124.81869082733,14884,893,771
2,1,Validacao,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,14991,2,1012,-35,-47,-17,-19,-9,754,881,809.2044473531752,55.20444735317517,55.20444735317517,3047.531007569489,16129,881,754
2,1,Validacao,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,14984,-8,996,-24,-26,-1,-18,-20,742,868,817.1274806137009,75.12748061370087,75.12748061370087,5644.138343361999,15876,868,742
2,1,Validacao,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,14998,4,975,-37,-25,1,0,-19,735,856,816.3808455342308,81.38084553423084,81.38084553423084,6622.84201986634,14641,856,735
2,1,Validacao,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,15002,7,940,-56,-40,-1,0,-18,728,843,795.520325457374,67.52032545737404,67.52032545737404,4558.994349869713,13225,843,728
2,1,Validacao,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,14990,2,877,-39,-12,-2,5,-3,681,771,708.3086014305626,27.30860143056259,27.30860143056259,745.7597120933251,8100,771,681
2,1,Validacao,2023,6,17,9,0,202306170900,2023-06-17 09:00,754,-17,27.16734265734265,14981,-5,869,-22,-4,-1,-3,4,666,754,689.8052592533392,23.80525925333916,23.80525925333916,566.6903681186897,7744,754,666
2,1,Validacao,2023,6,17,10,0,202306171000,2023-06-17 10:00,742,-12,25.55900932400932,14986,5,867,-10,-5,5,4,9,654,742,714.0630851252653,60.06308512526527,60.06308512526527,3607.574194764863,7744,742,654
2,1,Validacao,2023,6,17,11,0,202306171100,2023-06-17 11:00,735,-7,24.90900932400932,14986,10,858,-11,-37,5,10,7,646,735,720.7827477818607,74.78274778186073,74.78274778186073,5592.459365805396,7921,735,646
2,1,Validacao,2023,6,17,12,0,202306171200,2023-06-17 12:00,728,-7,23.76734265734265,14981,13,850,-17,-11,0,5,9,641,728,696.0564964867659,55.05649648676592,55.05649648676592,3031.217805397268,7569,728,641
2,1,Validacao,2023,6,17,13,0,202306171300,2023-06-17 13:00,721,-7,22.49234265734265,14981,8,826,-32,-14,0,0,10,638,721,684.3834597076786,46.38345970767864,46.38345970767864,2151.425334453848,6889,721,638
2,1,Validacao,2023,6,17,14,0,202306171400,2023-06-17 14:00,711,-10,20.64234265734265,14985,0,809,-41,10,-3,-3,2,632,711,652.2763664116493,20.27636641164929,20.27636641164929,411.1310348594596,6241,711,632
