EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,inp11_input_14_nivel_D-8h_86472600,inp12_input_15_nivel_D-12h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,3,Teste,2023,6,18,8,0,202306180800,2023-06-18 08:00,568,-6,2.840757575757575,237,-29,670,-9,-1,121,-9,-52,-73,510,568,510,512.577518975025,-58,-55.42248102497501,2.577518975024987,2.577518975024987,6.643604066613857,568,3364,3,Teste
2,3,Teste,2023,6,18,9,0,202306180900,2023-06-18 09:00,564,-4,2.632424242424241,234,-29,654,-20,-11,120,-9,-49,-74,511,564,511,515.2372617838121,-53,-48.76273821618793,4.237261783812073,4.237261783812073,17.95438742455427,564,2809,3,Teste
2,3,Teste,2023,6,18,10,0,202306181000,2023-06-18 10:00,559,-5,2.449090909090908,231,-29,629,-41,-20,119,-9,-47,-73,510,559,510,515.5153967095048,-49,-43.48460329049522,5.515396709504785,5.515396709504785,30.41960086321621,559,2401,3,Teste
2,3,Teste,2023,6,18,11,0,202306181100,2023-06-18 11:00,549,-10,2.321818181818181,228,-28,611,-43,-10,119,-7,-50,-75,509,549,509,502.104203059759,-40,-46.89579694024098,-6.895796940240984,6.895796940240984,47.55201544103692,549,1600,3,Teste
3,2,Validacao,2023,7,11,16,0,202307111600,2023-07-11 16:00,433,-3,1.805128205128205,165,-13,519,-5,3,109,-1,-24,-37,415,433,415,402.0785780024625,-18,-30.92142199753755,-12.92142199753755,12.92142199753755,166.9631464384473,433,324,2,Validacao
3,2,Validacao,2023,7,11,17,0,202307111700,2023-07-11 17:00,431,-2,4.278205128205128,165,-12,515,-5,0,109,0,-22,-36,413,431,413,402.6377204618404,-18,-28.36227953815956,-10.36227953815956,10.36227953815956,107.3768372269602,431,324,2,Validacao
3,2,Validacao,2023,7,11,18,0,202307111800,2023-07-11 18:00,428,-3,4.978205128205128,164,-12,514,-5,3,109,0,-22,-35,411,428,411,399.0707485304337,-17,-28.92925146956634,-11.92925146956634,11.92925146956634,142.3070406241507,428,289,2,Validacao
3,2,Validacao,2023,7,12,1,0,202307120100,2023-07-12 01:00,413,-2,5.544871794871794,159,-7,498,-5,-1,109,0,-18,-28,405,413,405,385.88007941465,-8,-27.11992058534997,-19.11992058534997,19.11992058534997,365.5713631900896,413,64,2,Validacao
3,2,Validacao,2023,7,12,2,0,202307120200,2023-07-12 02:00,411,-2,5.529487179487178,159,-6,498,-3,3,109,0,-17,-27,406,411,406,385.0057994708013,-5,-25.99420052919868,-20.99420052919868,20.99420052919868,440.7564558602061,411,25,2,Validacao
3,2,Validacao,2023,7,12,3,0,202307120300,2023-07-12 03:00,409,-2,5.53076923076923,158,-7,495,-3,0,109,0,-17,-27,412,409,412,382.8548432984948,3,-26.14515670150524,-29.14515670150524,29.14515670150524,849.440159155296,409,9,2,Validacao
3,2,Validacao,2023,7,12,4,0,202307120400,2023-07-12 04:00,408,-1,5.553205128205127,158,-6,494,-4,2,109,0,-15,-25,417,408,417,384.42710045539,9,-23.57289954460998,-32.57289954460998,32.57289954460998,1060.993784743253,408,81,2,Validacao
